id	amd_status	amd_equivalent	confidence	openness	amd_fit	eco_leverage	evidence_strength	gap_title	affected	amd_action	evidence
C166	partial	MI300X plus LeRobot training pipeline exists, but AMD recipes are demonstrated only on small community LeRobot datasets, not on OXE-scale corpora	med	3	3	3	2	No AMD-validated recipe for RLDS-format Open X-Embodiment-scale cross-embodiment pretraining on ROCm	Teams that want to pretrain cross-embodiment VLAs on Instinct instead of renting A100/H100 capacity	Publish an OXE to LeRobotDataset conversion plus a multi-GPU MI300X pretraining reference on ROCm blogs	corpus:rocmblogsamdcom-3f0bd016ae.txt
C167	partial	TensorFlow-ROCm builds exist and are used in ROCm blog tutorials, but no robotics TFDS/RLDS ingest path is tested or documented	med	3	2	3	2	RLDS ingest is bound to tf.data and TFDS whose ROCm support is second-class next to the PyTorch path AMD actually invests in	Anyone consuming Open X-Embodiment or DROID RLDS shards on AMD hardware	Ship and test an rlds-to-LeRobotDataset converter in the ROCm robotics examples repo	https://rocm.blogs.amd.com/blog/author.html
C168	partial	Data itself is vendor-neutral and downloadable; AMD training path is LeRobot on ROCm but no DROID-specific ingest or finetune recipe is published	med	3	2	2	2	No AMD reference for consuming the DROID RLDS distribution or for Franka-platform data collection on AMD hosts	Labs standardising on DROID-style Franka teleop rigs while running AMD compute	Add a DROID subset finetune walkthrough to the ROCm robotics example set using the LeRobot converter	https://droid-dataset.github.io/
C169	n/a	-	high	-	-	-	-	-	-	-	https://github.com/OpenDriveLab/AgiBot-World
C172	n/a	-	high	-	-	-	-	-	-	-	https://github.com/open-rmf
C173	n/a	-	high	-	-	-	-	-	-	-	https://github.com/open-rmf/free_fleet
C174	partial	rosbag2 itself runs unmodified on AMD hosts, but AMD has no ROS 2 node exposing VCN hardware video encode for high-rate multi-camera recording	med	3	2	2	2	No AMD hardware-accelerated image encoder node for ROS 2 logging, where NVIDIA ships isaac_ros_h264_encoder for the same job	Fleets recording multi-camera bags on AMD edge boxes and paying CPU cost for compression	Wrap VA-API/AMF VCN encode in a ROS 2 image transport plugin usable as a rosbag2 recording front end	https://nvidia-isaac-ros.github.io/releases/index.html
C175	n/a	-	high	-	-	-	-	-	-	-	https://github.com/foxglove/mcap
C176	n/a	-	med	-	-	-	-	-	-	-	https://foxglove.dev/
C177	n/a	-	med	-	-	-	-	-	-	-	https://rerun.io/
C178	n/a	-	high	-	-	-	-	-	-	-	https://github.com/facontidavide/PlotJuggler
C179	partial	AMD ships rocprofiler-sdk, rocprofv3 and roctx in the ROCm core SDK, but nothing binds them to ROS 2 executor or callback tracing	med	3	3	2	2	No ROCm-aware ROS 2 tracing that correlates GPU and NPU kernel timelines with node and callback-chain latency	Robotics teams debugging end-to-end control-loop jitter on AMD accelerators	Add roctx instrumentation and a ros2_tracing/CARET analysis recipe that merges rocprofv3 traces with LTTng callback chains	https://rocm.docs.amd.com/en/latest/install/rocm.html
C180	partial	AMD Functional Safety design flow and safety-certified adaptive SoCs covering IEC 61508 and ISO 26262 at the silicon and FPGA level	med	3	2	2	2	Safety story stops at the adaptive SoC; no safety-certifiable Linux, ROCm driver or NPU runtime evidence package and no visible AMD role in ELISA	Integrators needing a certifiable Linux plus accelerator stack for SIL-rated robot compute	Join ELISA and contribute an amdgpu/ROCm kernel driver safety analysis to the workgroup evidence set	https://www.amd.com/en/products/adaptive-socs-and-fpgas/technologies/functional-safety.html
C181	partial	AMD Functional Safety certification flow for adaptive SoCs (IEC 61508, ISO 26262) gives silicon-level ASIL support but no S-CORE platform participation is visible	med	3	2	2	2	No AMD reference target or hardware abstraction contribution in the open ASIL-B software-defined-vehicle core stack that robotics middleware is converging on	Automotive-adjacent robotics vendors picking an ASIL-B compute platform for S-CORE-based stacks	Register an AMD reference board as an S-CORE supported target and contribute the hardware abstraction layer for it	https://projects.eclipse.org/projects/automotive.score
C182	none	AMD Isolation Design Flow safety partitioning only, no motion envelope monitor	med	3	3	2	2	No formal runtime safety-envelope monitor mapped onto AMD lockstep R5F or an FPGA safety partition	Humanoid and AMR builders needing a certifiable last-line motion veto on AMD silicon	Port ad-rss-lib onto Kria Cortex-R5F lockstep and publish it as a reference safety-partition design	https://www.amd.com/en/products/adaptive-socs-and-fpgas/technologies/functional-safety.html
C183	n/a	-	high	-	-	-	-	-	-	-	https://ros.org/reps/rep-2004.html
C184	n/a	-	high	-	-	-	-	-	-	-	https://colcon.readthedocs.io/
C185	none	-	high	3	2	3	3	rosdistro carries nvidia-cuda, nvidia-cuda-dev and nvidia-cudnn keys but zero rocm, hip, hsa or amdgpu rosdep keys	Any ROS 2 package author who wants to declare a ROCm or HIP runtime dependency	Submit rosdep base.yaml keys for rocm-hip-runtime, rocm-libs and amdgpu-dkms	https://raw.githubusercontent.com/ros/rosdistro/master/rosdep/base.yaml
C186	none	Kria Robotics Stack shipped as Vitis overlays and Kria App Store images, not as released ROS debs	high	3	2	3	3	No AMD-maintained ROS 2 release pipeline or apt channel publishing ROCm-accelerated packages	ROS 2 integrators who expect apt-installable AMD accelerated nodes like the Isaac ROS apt repo	Bloom-release one AMD ROS 2 package into rosdistro to stand up the release pipeline end to end	https://raw.githubusercontent.com/ros/rosdistro/master/jazzy/distribution.yaml
C187	community	ROCm ships via apt, amdgpu-install, tarball or pip; RoboStack conda ROS runs on AMD CPUs unaccelerated	med	3	2	2	2	No ROCm packages on conda-forge, so a GPU-accelerated conda ROS 2 environment cannot be solved	Windows, macOS and HPC users who install ROS 2 through conda rather than apt	Publish ROCm runtime feedstocks to conda-forge so RoboStack environments can link HIP	https://rocm.docs.amd.com/en/latest/install/rocm.html
C188	none	Kria App Store and scattered AMD GitHub repos that sit outside the ROS index	high	3	2	3	3	Zero AMD, Xilinx, Kria or ROCm repositories appear in the ROS 2 distribution index while NVIDIA-ISAAC-ROS entries do	ROS 2 developers discovering which hardware acceleration options exist for their distro	Register Kria Robotics Stack packages in rosdistro so they surface on index.ros.org	https://raw.githubusercontent.com/ros/rosdistro/master/jazzy/distribution.yaml
C189	partial	huggingface.co/amd org with 686 mostly LLM and quantized models plus 15 non-robotics datasets	high	3	3	3	3	No AMD-published VLA policy checkpoints or LeRobot datasets despite an active and large HF org	Robot learning users looking for ROCm-validated policy weights they can pull and run	Publish ROCm-validated ACT, SmolVLA and pi0 checkpoints and one teleop dataset under huggingface.co/amd	https://huggingface.co/amd
C190	partial	QNX 8 runs on AMD x86-64 embedded, but AMD ships no Kria or Versal BSP and no safety-partitioned reference	med	1	2	3	2	No AMD analogue of the NVIDIA IGX Linux-plus-QNX hypervisor partitioned safety reference design	Humanoid and automotive integrators needing a certified RTOS partition beside AI compute	Publish a Kria or Ryzen AI Embedded reference that runs a certified RTOS partition next to the Linux AI domain	https://bananarat.com/blogs/blog/qnx-robotics-humanoid-safety-layer
C191	unknown	-	low	1	2	2	1	Unclear whether Wind River publishes a current VxWorks BSP for Kria, Versal or Ryzen Embedded	Industrial arm, aerospace and legacy controller vendors standardized on VxWorks	Confirm VxWorks BSP coverage for Kria and Ryzen Embedded and state it on the AMD partner page	https://www.strategicmarketresearch.com/market-report/functional-safety-market
C193	native	freertos10_xilinx BSP maintained in Xilinx embeddedsw for Cortex-A53, Cortex-R5F and MicroBlaze	high	-	-	-	-	-	-	-	https://github.com/Xilinx/embeddedsw/tree/master/ThirdParty/bsp/freertos10_xilinx
C195	partial	TUV SUD certified Isolation Design Flow and Vivado Isolation Verifier for on-die spatial partitioning	med	1	3	1	3	On-die hardware isolation exists but there is no certified separation-kernel RTOS story on AMD adaptive SoCs	DO-178C and IEC 61508 aerospace and defence robot controller programs	Co-publish an INTEGRITY or PikeOS partitioning reference on Versal AI Edge backed by IDF isolation evidence	https://www.amd.com/en/products/adaptive-socs-and-fpgas/technologies/functional-safety.html
C198	partial	Kria K24 and KD240 with Vitis Motor Control libraries and PL Ethernet; EtherCAT stacks come from third-party IP vendors	med	2	3	3	2	No AMD first-party EtherCAT master or slave stack and no ros2_control bridge on Kria	Multi-axis servo integrators wiring ROS 2 down to drives on AMD SoCs	Ship an EtherCAT master reference design on KD240 wired into ros2_control	https://www.amd.com/en/products/system-on-modules/kria/k24/kd240-drives-starter-kit.html
C201	native	TSN-enabled PL Ethernet ports on Kria KD240 backed by the AMD TSN subsystem IP	high	-	-	-	-	-	-	-	https://www.amd.com/en/products/system-on-modules/kria/k24/kd240-drives-starter-kit.html
C202	partial	CAN and RS-485 controllers on Kria KD240 plus Vitis Motor Control libraries, but no CiA 402 profile stack	med	2	3	2	2	No AMD-supplied CANopen CiA 402 drive state machine bridging Vitis motor control to ROS 2	Low-cost servo, gripper and joint-module integrators building on Kria	Publish a CiA 402 drive state machine example on KD240 CAN wired to ros2_control	https://www.amd.com/en/products/system-on-modules/kria/k24/kd240-drives-starter-kit.html
C203	unknown	-	low	1	3	2	1	Could not confirm any AMD first-party or partner PROFINET IRT stack for Zynq UltraScale+ or Versal	Siemens-centric factory cell integrators evaluating AMD SoCs as a cell controller	Audit the AMD industrial partner IP catalogue and state PROFINET IRT coverage publicly	https://www.amd.com/en/solutions/industrial.html
C205	n/a	-	high	-	-	-	-	-	-	-	https://orocos.org/
C206	n/a	-	high	-	-	-	-	-	-	-	https://linuxcnc.org/
C208	partial	Dual Cortex-R5F lockstep on Zynq UltraScale+ and Kria K26 plus a TUV SUD certified functional safety design flow	med	1	3	3	3	No AMD ASIL-D safety companion MCU and no packaged robot safety-island reference to answer NVIDIA Halos	Humanoid and cobot OEMs needing a certifiable emergency stop path beside AI compute	Package R5F lockstep plus IDF isolation into a documented robot safety island reference design	https://www.amd.com/en/products/adaptive-socs-and-fpgas/technologies/functional-safety.html
C209	community	Jailhouse upstream supports Xilinx ZCU102 Zynq UltraScale+ and AMD x86 with SVM and NPT, but Siemens maintains it	high	3	3	2	3	No AMD-maintained static partitioning hypervisor or mixed-criticality reference for Kria or Versal	Robot builders consolidating safety-critical control and AI inference onto one AMD SoC	Adopt and CI-test the Jailhouse ZCU102 cell configuration on a current Kria KR260 image	https://github.com/siemens/jailhouse
C210	native	AMD/Xilinx-maintained Xen port for Zynq UltraScale+ and Versal plus dom0less static partitioning; Xen x86 on AMD-V for Ryzen Embedded	high	-	-	-	-	-	-	-	https://github.com/Xilinx/xen
C211	partial	Xen on Versal/Zynq and Ryzen Embedded; no QNX-certified host BSP or safety island from AMD	med	1	3	3	2	No safety-certified hypervisor with an AMD-validated BSP and safety island for robot SoCs	Humanoid and AMR OEMs needing SIL/ASIL partitioning between an AI Linux VM and a certified RTOS VM on AMD silicon	Fund a QNX SDP 8 plus QNX Hypervisor for Safety reference BSP on Versal and Ryzen Embedded X100 and publish the partitioning reference design	https://bananarat.com/blogs/blog/qnx-robotics-humanoid-safety-layer
C212	n/a	Vendor-neutral cloud SaaS running a ROS 1/ROS 2 agent on any Linux compute	high	-	-	-	-	-	-	-	https://formant.ai/
C213	n/a	Vendor-neutral AMR fleet SaaS with a CPU-side ROS agent	high	-	-	-	-	-	-	-	https://github.com/Airbotics/awesome-cloud-robotics
C214	n/a	Vendor-neutral self-serve ROS agent SaaS	high	-	-	-	-	-	-	-	https://github.com/Airbotics/awesome-cloud-robotics
C216	n/a	Open-core capability streaming stack, architecture-agnostic	med	-	-	-	-	-	-	-	https://transitiverobotics.com/
C218	n/a	Bootloader/rootfs-level A/B OTA, works on any U-Boot or GRUB Linux target including AMD Yocto builds	med	-	-	-	-	-	-	-	https://mender.io/
C219	n/a	Yocto meta-rauc A/B update layer, silicon-agnostic on U-Boot targets	med	-	-	-	-	-	-	-	https://rauc.io/
C220	n/a	Embedded Linux update agent, silicon-agnostic	med	-	-	-	-	-	-	-	https://sbabic.github.io/swupdate/
C221	partial	balenaOS generic-amd64 image runs on Ryzen Embedded x86 but no AMD embedded board device type exists	high	2	2	3	3	No balenaOS device type for Kria SOMs, Zynq UltraScale+ or Versal while a dozen Jetson variants are first-class	Robot fleet teams wanting container-based OTA on AMD adaptive SoCs; forces them to Jetson or to roll their own Yocto pipeline	Contribute and maintain a balena device type for the Kria K26/K24 SOM starter kits, mirroring the Jetson board support pattern	https://docs.balena.io/reference/hardware/devices/
C222	none	-	med	1	2	3	2	No AMD-operated secure OTA/lifecycle cloud for Kria SOMs comparable to Torizon Cloud for Toradex modules	Industrial customers designing Kria SOMs into products who need signed, Uptane-grade field updates and device management out of the box	Publish a reference Kria SOM + RAUC/Uptane A/B update integration in the Kria app store, or partner with an existing OTA vendor for a supported Kria offering	https://www.amd.com/en/products/system-on-modules/kria/k24.html
C223	n/a	Hardware-neutral experiment tracking and model registry; runs unchanged against ROCm training jobs	high	-	-	-	-	-	-	-	https://axis-intelligence.com/mlops-platforms-comparison-2025-guide/
C224	n/a	Hardware-neutral tracker; AMD ROCm training blogs use wandb logging directly	med	-	-	-	-	-	-	-	https://rocm.blogs.amd.com/artificial-intelligence/rocm-blogsblogsartificial-in/README.html
C225	n/a	Hardware-neutral agent-based orchestration layer	high	-	-	-	-	-	-	-	https://www.truefoundry.com/blog/mlops-tools
C226	native	AMD GPU Operator plus ROCm Kubernetes device plugin provide the scheduling and partitioning substrate Kubeflow pipelines run on	high	-	-	-	-	-	-	-	https://github.com/ROCm/gpu-operator
C227	n/a	Hardware-neutral prompt and trace logging above the runtime	high	-	-	-	-	-	-	-	https://atlan.com/know/ai-observability/
C228	n/a	Vendor-neutral CNCF instrumentation standard; OTLP is silicon-agnostic	high	-	-	-	-	-	-	-	https://opentelemetry.io/docs/what-is-opentelemetry/
C230	n/a	Vendor-neutral metrics backend; the AMD-specific piece is the exporter, not the TSDB or dashboard	high	-	-	-	-	-	-	-	https://www.glukhov.org/observability/monitoring-llm-inference-prometheus-grafana/
C231	native	AMD Device Metrics Exporter ships Prometheus endpoint, Grafana dashboards, Helm chart and Slurm integration for per-GPU temp/util/memory/power/PCIe counters	high	-	-	-	-	-	-	-	https://github.com/ROCm/device-metrics-exporter
C233	n/a	Single-binary Kubernetes distro, architecture-agnostic on arm64 and amd64	high	-	-	-	-	-	-	-	https://srphm.ai/pages/robotics/edge-computing-robotics
C234	partial	AMD GPU Operator and ROCm k8s-device-plugin on standard Kubernetes nodes	med	3	2	3	2	No AMD NPU/edge device plugin so Ryzen AI XDNA accelerators are invisible to K8s/KubeEdge fleet schedulers	Robot fleet operators wanting one control plane over mixed cloud GPU and edge NPU nodes	Publish an XDNA/Ryzen AI device plugin and a KubeEdge-verified ROCm edge node reference	https://github.com/ROCm/k8s-device-plugin
C235	partial	Greengrass runs on x86-64 Linux so AMD EPYC and Ryzen Embedded gateways are supported hosts	low	1	2	2	2	No ROCm or XDNA accelerated inference component for managed edge runtimes; only CPU path on AMD	Teams shipping OTA-managed robot edge inference on AWS-managed fleets	Publish a Greengrass custom component recipe that runs ROCm/Lemonade inference on Ryzen AI Embedded	https://aws.amazon.com/greengrass/
C236	partial	AMD TUV SUD certified functional safety design flow, Isolation Design Flow, SEM IP, Zynq-7000 SIL3 safety concept	high	1	3	3	3	SIL evidence stops at the adaptive SoC/FPGA line; no IEC 61508 artifacts for ROCm, Instinct or Ryzen AI compute running robot autonomy	Robot OEMs who need the AI compute itself inside the safety argument, not just an FPGA safety island	Scope and publish an IEC 61508 safety element out of context concept for Ryzen AI Embedded plus a ROCm safety manual	corpus:amdcom-5013f693ca.txt
C237	partial	AMD adaptive SoC design flow certified for ISO 26262 by TUV SUD	high	1	3	3	3	No ASIL-rated AMD GPU or NPU compute path; automotive-grade evidence covers FPGA fabric not the AI accelerator stack	Autonomous mobile robot and AV builders evaluating AMD against ASIL-B/D rated NVIDIA parts	Publish ASIL decomposition guidance pairing a Versal/Zynq safety island with a Ryzen AI or Radeon inference channel	corpus:amdcom-5013f693ca.txt
C238	n/a	-	high	-	-	-	-	-	-	-	https://www.iso.org/standard/73933.html
C239	n/a	-	high	-	-	-	-	-	-	-	https://www.iso.org/standard/73934.html
C240	n/a	-	high	-	-	-	-	-	-	-	https://www.iso.org/standard/62996.html
C241	partial	ISO 13849 listed among standards covered by AMD certified industrial design flow	high	1	3	3	3	No PL d/e rated reference design for a ROS 2 motion safety controller on Kria or Ryzen AI Embedded	Cobot and AMR integrators who must show a performance level for the control channel	Ship a Kria-based safety controller reference design with a PL d gap analysis and TUV report	corpus:amdcom-5013f693ca.txt
C242	unknown	-	low	1	2	3	1	No published IEC 62443-4-2 component security level claim for AMD embedded/robotics compute platforms	OT integrators putting AMD compute into certified robot cells under EU CRA and NIS-2	Confirm whether any AMD embedded platform holds a 62443-4-2 SL claim and publish it alongside the functional safety collateral	corpus:amdcom-5013f693ca.txt
C244	n/a	-	high	-	-	-	-	-	-	-	https://www.ul.com/services/ul-3300-safety-standard-service-communication-and-personal-care-robots
C245	n/a	-	high	-	-	-	-	-	-	-	https://www.automate.org/robot-safety
C246	n/a	-	med	-	-	-	-	-	-	-	https://eur-lex.europa.eu/eli/reg/2023/1230/oj
C247	n/a	-	med	-	-	-	-	-	-	-	https://eur-lex.europa.eu/eli/reg/2024/1689/oj
C248	partial	AMD aerospace and defense design flow lists DO-254 and DO-178B support	med	1	2	2	3	AMD collateral references DO-178B not the current DO-178C, and no DAL evidence exists for ROCm or AI runtime software in aerial robotics	Drone and UAS builders needing certifiable onboard autonomy compute	Refresh the avionics collateral to DO-178C/DO-330 and state what tool qualification data AMD supplies	corpus:amdcom-5013f693ca.txt
C249	native	AMD functional safety design flow is itself TUV SUD certified, with an annual Functional Safety Working Group with certification authorities	high	-	-	-	-	-	-	-	corpus:amdcom-5013f693ca.txt
C250	n/a	-	high	-	-	-	-	-	-	-	https://www.ul.com/
C252	partial	Certified compiler and design/verification tools bundled in the AMD functional safety package for adaptive SoCs	med	1	2	2	2	No safety-qualified compiler for AIE kernels, HIP/ROCm device code or XDNA NPU graphs; qualification stops at the scalar Arm/MicroBlaze toolchain	Anyone trying to place AMD AI acceleration inside an ASIL D or DAL A software item	State exactly which AMD compilers are qualified and to what level, then start a tool qualification plan for the AIE/HIP compiler	corpus:amdcom-5013f693ca.txt
C253	partial	AMD certified compiler tools shipped in the functional safety package cover the GCC-based embedded toolchain	low	2	2	2	2	No published qualification kit or test-suite evidence for the LLVM/GCC toolchains in Vitis or for ROCm amdclang	Safety teams wanting to reuse open toolchains on AMD targets without buying a proprietary compiler	Engage a qualification-kit vendor to run a compiler test suite against the Vitis GCC and publish the report	https://wrocpp.github.io/toolset/qualified-compilers/
C254	partial	QNX lists AMD among its silicon partners so QNX runs on AMD x86-64 and Arm cores	med	1	2	3	2	No AMD-published safety-certified RTOS BSP or safety manual for Ryzen AI Embedded or Kria, so the certified reflex layer has no AMD reference	Humanoid and cobot builders needing a certified real-time reflex partition next to an AI compute partition	Co-publish with QNX or a peer RTOS vendor a certified BSP and safety manual for Ryzen AI Embedded X100 and Kria	https://qnx.software/
C255	partial	PikeOS supports x86 and Arm v8 with TUV SUD DO-178C DAL A, IEC 61508 SIL 3 and ISO 26262 ASIL D, reachable on AMD x86-64 and Zynq/Versal Arm cores	med	1	3	2	3	No AMD-specific certified hypervisor BSP or mixed-criticality reference partitioning safety and ROCm AI workloads on one AMD device	Robot platform teams consolidating safety control and AI inference onto a single AMD SoC	Fund a PikeOS or Xen-based mixed-criticality reference on Versal/Ryzen Embedded with published isolation evidence	https://www.sysgo.com/pikeos
C256	partial	AMD Functional Safety design flow for Zynq UltraScale+ and Versal adaptive SoCs (IEC 61508 / ISO 26262 certified flow and safety IP)	med	3	3	3	3	No safety-certifiable RTOS image or certification artifact package that runs on AMD adaptive SoCs and Kria SOMs	Industrial cobot and AMR OEMs that need SIL 3 software on AMD silicon and today buy a certified RTOS bundled with another vendor	Fund an upstream Zephyr board port plus safety-scope certification evidence for Kria K24/K26 so customers inherit the artifacts	https://www.amd.com/en/products/adaptive-socs-and-fpgas/technologies/functional-safety.html
C258	partial	repo.radeon.com ROCm apt repositories and amdgpu-install for Debian/Ubuntu	med	3	2	3	2	No apt channel shipping prebuilt ROCm-accelerated ROS 2 packages per ROS distro so AMD users build from source	ROS 2 integrators on Ryzen and Radeon hosts who get CPU-only debs from packages.ros.org	Publish a ros-rocm apt suite on repo.radeon.com pinned to one active ROS distro with a handful of accelerated nodes	https://rocm.docs.amd.com/en/latest/install/rocm.html
C259	partial	ROCm release CI and AMD Developer Cloud build infrastructure used internally for ROCm packages	low	3	2	3	1	No AMD hardware or ROCm-variant jobs in the public ROS 2 build and release farm so accelerated packages never get regression-tested at release time	ROS package maintainers who cannot get AMD build status and users who hit breakage only at runtime	Donate one MI-class and one Ryzen AI Embedded node to the ROS build farm and add a nightly ROCm job	https://build.ros2.org/
C261	partial	rocm/ Docker Hub organization images (rocm/dev-ubuntu, rocm/pytorch, rocm/vllm) maintained by AMD	med	3	2	3	2	No official ros image variant with ROCm runtime preinstalled equivalent to the CUDA-enabled robotics base images	Robotics teams containerizing ROS 2 workloads for AMD GPUs who must hand-layer ROCm onto the ros base image	Publish a ros-rocm tag pairing the current ROS LTS with a supported ROCm runtime and keep it in the rocm Docker Hub org	https://hub.docker.com/u/rocm
C262	partial	AMD Infinity Hub containerized application catalog plus ROCm Docker Hub org and AMD models on Hugging Face	med	2	3	3	2	No curated robotics section in the AMD catalog: no validated VLA/perception containers, pretrained policies or deployment charts per AMD part	Robotics developers evaluating AMD who find HPC and LLM containers but nothing robotics-shaped to start from	Add a robotics collection to Infinity Hub with ROCm-validated LeRobot, ACT/SmolVLA and perception containers and per-GPU tested tags	https://en.wikipedia.org/wiki/ROCm
C264	partial	AMD Developer Cloud MI300X instances and self-hosted GitHub Actions runners on AMD GPUs	high	1	3	3	3	GitHub-hosted GPU runners are NVIDIA Tesla T4 only, so open-source robotics repos have no free hosted path to test on ROCm	Maintainers of open robotics and VLA repos who therefore only gate merges on CUDA	Sponsor a hosted AMD GPU runner pool or a free ROCm CI credit program for named upstream robotics repos	https://docs.github.com/en/actions/reference/runners/larger-runners
C267	community	LeRobot on ROCm (AMD Instinct/Radeon VLA training and inference blogs); the Dynamixel arm itself is USB and host-neutral	med	3	2	2	2	No AMD-published bring-up, BOM or validated teleop latency numbers for Dynamixel leader-follower arms on Ryzen or Radeon hosts	Teleop data-collection teams choosing a host box for imitation-learning rigs	Publish a one-page Koch-class arm bring-up on a Ryzen AI Embedded host with measured teleop and record loop rates	https://github.com/huggingface/lerobot
C268	community	LeKiwi is natively supported in LeRobot which AMD runs on ROCm; the base and arm hardware are host-agnostic	med	3	2	2	2	No AMD reference mobile-manipulation kit pairing a LeKiwi-class base with AMD embedded compute and an onboard policy runtime	Labs and students building low-cost mobile manipulators who default to Jetson for the onboard box	Publish a LeKiwi plus Ryzen AI Embedded reference integration with onboard ROCm/NPU policy inference numbers	https://github.com/huggingface/lerobot
C269	partial	AMD Kria KR260 Robotics Starter Kit and the Kria AI Robotics Developer Platform (Ryzen AI Embedded X100 plus Kria FPGA, CPU/GPU/NPU/FPGA)	high	2	3	3	3	AMD ships robotics compute boards but no complete reference mobile robot with a maintained ROS 2 nav/SLAM stack and curriculum like TurtleBot 4	Educators, evaluators and new ROS 2 developers who need a buyable end-to-end AMD robot rather than a carrier board	Partner with one AMR vendor on a TurtleBot-class SKU built on Kria AI SOM with a maintained ROS 2 bringup repo	https://ucadvanced.com/amd-kria-ai-solutions-launched-for-physical-ai/
C270	community	unitree_sdk2 is C++/DDS and builds on AMD x86_64 Linux hosts; Unitree G1 is listed as LeRobot-supported hardware	med	2	2	3	2	Legged and humanoid platforms ship Jetson-class onboard compute, and there is no AMD-validated onboard integration or ROCm policy runtime for Unitree-class robots	Humanoid and quadruped researchers who want AMD silicon on the robot rather than only in the training cluster	Demonstrate unitree_sdk2 low-level control plus a ROCm/NPU VLA policy loop on a Ryzen AI Embedded compute payload and publish the loop rates	https://github.com/unitreerobotics/unitree_sdk2
C271	community	OpenARM is a natively supported LeRobot device and LeRobot policies train and run on ROCm per AMD blogs	med	3	2	2	2	No AMD-validated CAN-FD and torque-control host stack or latency characterization for backdrivable QDD research arms	Research groups standardizing on 7-DoF backdrivable arms who need a deterministic host for high-rate torque control	Validate a CAN-FD OpenArm control loop on Kria/Ryzen AI Embedded and publish jitter numbers against an x86 plus USB-CAN baseline	https://www.roboticscenter.ai/state-of-robotics-2026
C272	partial	AMD Robotics Innovation Challenge with MassRobotics, whose winners showcase at ROSCon, plus Kria kit distribution	med	3	2	2	2	No sustained AMD technical presence at ROSCon (tutorials, workshop, archived accelerated-robotics talks) comparable to the incumbent accelerator vendor	ROS developers whose default mental model of hardware acceleration is formed at ROSCon and its talk archive	Submit a ROSCon workshop on ROCm and Kria accelerated ROS 2 nodes with runnable material published alongside the talk	https://www.massrobotics.org/amd-and-massrobotics-announce-winners-of-the-amd-robotics-innovation-challenge/
C273	n/a	-	high	-	-	-	-	-	-	-	https://discourse.ros.org/
C274	none	-	med	3	2	2	3	AMD and ROCm appear nowhere in the community census of cloud-robotics and RobOps tooling across all its categories	Fleet-ops and robot-MLOps teams surveying the tooling landscape, who see no AMD-aware option	Land ROCm support in one or two listed fleet/data-infrastructure projects and open a PR adding them to the list	https://github.com/Airbotics/awesome-cloud-robotics
